epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
39,4,0.8165454545454546,0.5293261759931391,0.7479,0.758,0.06168065304963487,670.0402915477753,0.9922794358261043,0.5453836663929356,0.4701188717059098,0.79,0.27085858589947914,0.7294193997675943,0.95,0.7942619082019773,0.26778525659857794,0.75,0.9005224364268225,0.17644045458630073,0.63,0.6903290989873714,0.3429813677401737,0.56,0.7774409488016782,0.2720791577079961,0.66,0.5432251355675763,0.46263746709324594,0.84,0.5024384459004153,0.5024139800130628,0.71,0.3146826912389072,0.6848568642663575,0.83,0.3157659930834915,0.6868581111058268,0.86
40,4,0.8186363636363636,0.5116065782416951,0.7667,0.759,0.06358045243335596,684.780793428421,0.9922718085633486,0.5150702109690323,0.4928393371749756,0.7,0.24293280414442348,0.7573916211647799,0.92,0.7679419874451882,0.27458666057087655,0.75,0.8983260279651298,0.16511307370870612,0.66,0.6493969521983418,0.36755046070834924,0.72,0.7708916964745799,0.278882878897495,0.53,0.5085228596554073,0.49730719471090407,0.74,0.5010944832682198,0.5148432137875081,0.77,0.28945843207779837,0.7089804384131851,0.89,0.3118727605270092,0.6891040701938923,0.91
41,5,0.7775454545454545,0.6364685494249517,0.7564,0.751,0.06572122446823989,699.9212996959686,0.991291556229791,0.6017951064331587,0.4142963907053304,0.73,0.3113821128567377,0.6927806152366535,0.96,0.8782782869110274,0.18805795258214308,0.6,0.9415477117480233,0.14572989957970242,0.56,0.7500984053192443,0.3018749777747448,0.71,0.9300224257763042,0.15074739172015078,0.79,0.6424804780805526,0.38054527719180253,0.81,0.6394301356726088,0.38253531326691426,0.76,0.43947094171253837,0.5717159165367267,0.86,0.3678333831972681,0.6390528557713815,0.73
42,5,0.8001818181818182,0.5694991037628867,0.7502,0.746,0.06767351035196084,714.6041789054871,0.9920582987984153,0.5533675159825835,0.4631987009630647,0.66,0.28280295271881273,0.7250192205605726,0.9,0.8269538927043594,0.23722411804767543,0.63,0.905948017745517,0.15988482309635296,0.47,0.6976153693313516,0.3318508694944687,0.76,0.889618472824263,0.17413740674423617,0.76,0.5868471016197704,0.43742270239217335,0.75,0.5708726072294075,0.445091437158543,0.79,0.3941213996582773,0.6093537015298944,0.85,0.37088280017108677,0.6481214311044273,0.89
43,5,0.811,0.54297548419779,0.7517,0.75,0.06960296087521659,729.452107667923,0.9921511907314858,0.517903633090819,0.5046643612819702,0.68,0.26546130674826196,0.734538693251738,0.96,0.7707107110425483,0.26925498437742856,0.75,0.8698751600675805,0.19393502418384995,0.55,0.6967804282037324,0.34275290205381637,0.7,0.8593231816451217,0.21121990446781003,0.67,0.5622273460896903,0.4503454837168372,0.78,0.5608350437914216,0.45567809729728587,0.78,0.35726524467125187,0.639176590216541,0.88,0.32468399599865944,0.6777150819435456,0.75
44,5,0.8180909090909091,0.5307609805627302,0.7624,0.756,0.0716303625612631,745.1026051044464,0.9917527353240486,0.5144092799272648,0.5013196414639783,0.62,0.28923501897884835,0.7217014512469515,0.87,0.7537659805181415,0.2825537854155829,0.67,0.8316655345261097,0.22109933795277462,0.57,0.6559679474854885,0.3807155842091455,0.78,0.8425272534233194,0.23473349100975102,0.74,0.5399794678182103,0.4599382715343043,0.79,0.4948521115015759,0.5053587045823765,0.77,0.35396401011141365,0.6470548550525226,0.82,0.3353543095777981,0.6699947935236661,0.93
45,5,0.8152727272727273,0.5172452099540017,0.7267,0.72,0.07362832543335607,760.0364878177643,0.9918724894369567,0.5054896267694097,0.49881065290334614,0.64,0.2678175464727331,0.7263685000388947,0.87,0.7501856802507888,0.28908828316732893,0.79,0.8364152022918989,0.21070431051559227,0.52,0.6432988085719042,0.39028571961924086,0.82,0.828711980737226,0.23023634273992027,0.56,0.533542864414495,0.47784818271391616,0.62,0.49327898725629027,0.5099159208137195,0.67,0.3585662563645476,0.6445149904994164,0.88,0.3133927097565733,0.6879503450702963,0.83
46,5,0.8272727272727273,0.49032795953750613,0.726,0.738,0.07570050172405379,774.7934513092041,0.9915705967681516,0.46216825096932956,0.5497519474823115,0.72,0.2200706104455559,0.774115436066072,0.95,0.7175948233451954,0.316655185853326,0.6,0.8069282288468161,0.2383335229269294,0.53,0.6192372181387835,0.39085043897462446,0.51,0.7999901940482993,0.251825503571782,0.87,0.49935355895133904,0.5100143180163794,0.65,0.5006498728207377,0.5059916613580182,0.88,0.331258854130283,0.6711798234745253,0.8,0.2984018838574547,0.7015981161425453,0.87
47,5,0.8346363636363636,0.46539103592525827,0.7544,0.755,0.07777917018917015,789.4908056259155,0.9915441872602966,0.45854157179074234,0.546275995801701,0.54,0.20935264517293248,0.791473374707451,0.95,0.6644915910221116,0.35707791604448197,0.75,0.7995143077921035,0.24475756192276643,0.62,0.5900258716022553,0.42650231827310353,0.74,0.7589926744789578,0.2820481896227182,0.8,0.4943555609734599,0.5132381075040199,0.66,0.47351254213081545,0.5397567346822038,0.74,0.32221862641271465,0.6786927667251507,0.9,0.2665561833364759,0.7346109109551667,0.85
48,5,0.8385454545454546,0.461882164478302,0.7537,0.759,0.07989818064265833,804.2602481842041,0.9913800801383846,0.4301878668281228,0.5702797614124625,0.69,0.21615423429161743,0.7780318122200105,0.9,0.6673313475235604,0.36050045085247867,0.71,0.7522837042288725,0.27693151240778524,0.53,0.5590874856597808,0.4584869216737706,0.75,0.7702322628912192,0.26502921564374554,0.78,0.46298885150531005,0.5414183942471132,0.75,0.47387398519488266,0.5332488883719888,0.79,0.3246803680126187,0.6782852832666534,0.85,0.2722773047348181,0.7296770380019362,0.84
