epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
31,3,0.93144,0.20585471015930176,0.8703,0.873,1.4168607446371033,513.6159341335297,0.9712946559627297,0.23722450202212156,0.7605090721104085,0.86,0.09711742659221867,0.8984346668065957,0.95,0.2850684766439075,0.7166686289592132,0.85,0.42942359580715395,0.57554711529757,0.68,0.22125499009876987,0.7806109406044517,0.88,0.32051419241505924,0.681437697917299,0.81,0.1799114680509273,0.8150047423182607,0.89,0.17079987452026607,0.829200125479734,0.97,0.14645986656859702,0.8536230404512323,0.96,0.14268928285146473,0.858750660754075,0.88
32,3,0.93632,0.1900685044193268,0.8648,0.876,1.424894966065675,529.7176406383514,0.97123948898852,0.20751278312895827,0.7947017946042957,0.81,0.07736940509345876,0.9226305949065412,0.98,0.27820774398706094,0.7252408609421429,0.91,0.3970490384428781,0.6044205493502774,0.8,0.24285238122624553,0.7601735221592671,0.91,0.31316773414288707,0.6885477361906016,0.76,0.1599556034492039,0.8400443965507961,0.83,0.15672376546955297,0.8444006767623454,0.95,0.12828492028154648,0.8728867136237475,0.9,0.11011638507135307,0.8898836149286469,0.91
33,3,0.9364,0.18653372974395752,0.867,0.863,1.4327998100707768,545.8173241615295,0.9717026279305331,0.19623944765712342,0.8037605523428766,0.73,0.08865023660251717,0.9113497633974827,0.94,0.24330810547274137,0.7578712004018301,0.9,0.3796001000481905,0.6231032637499121,0.7,0.18821191218116187,0.8117880878188382,0.9,0.3072593978092987,0.6931095093260614,0.72,0.16582814823480901,0.8345172637227176,0.87,0.15657674782162256,0.8440428746959826,0.97,0.12039274828863682,0.8796072517113632,0.95,0.1220531499520246,0.8779468500479755,0.95
34,3,0.94408,0.16500932554244996,0.8703,0.876,1.4405115530554704,562.6017894744873,0.9723938814730402,0.1945168515334704,0.8054831484665296,0.82,0.07757320797496825,0.9173247512087053,0.95,0.22745411429668264,0.7745680705910283,0.91,0.3277955754964175,0.6737337221619578,0.72,0.19455509416804154,0.7958274835237178,0.88,0.2688677190726965,0.7260302401109769,0.77,0.15079761620751125,0.8529107944204767,0.91,0.1346024987991657,0.8653975012008344,0.93,0.11969252379957633,0.8803074762004237,0.92,0.09679964463534166,0.8980983145483318,0.95
35,3,0.93784,0.17891044313192367,0.8621,0.858,1.4483969038207767,578.7084541320801,0.9717724088723191,0.18631805148930763,0.8136819485106923,0.81,0.09230085566961481,0.9076991443303852,0.85,0.23946369013140853,0.7561929084560168,0.77,0.3544703088130574,0.6404276503706161,0.85,0.18775667535908502,0.812243324640915,0.89,0.2782506143935001,0.7256076222405013,0.7,0.18803368284953853,0.8127466380478557,0.88,0.14053923388431086,0.8543587252993626,0.87,0.11770393161224296,0.8790955854305399,0.98,0.11340398458664172,0.8865960154133583,0.98
36,4,0.8638181818181818,0.41337154841423035,0.8614,0.864,1.4571180450765906,593.2697286605835,0.9645232808534779,0.4375994453520709,0.5831490777335454,0.87,0.19285642729310407,0.8087084184962064,0.98,0.5603491843049956,0.4615690736966424,0.84,0.6917287109766243,0.3459034002234423,0.82,0.4061388834616505,0.5909932501442178,0.64,0.577756212320352,0.4389669214765173,0.81,0.3556001117469223,0.663504641375851,0.88,0.33467422648018963,0.671397666108448,0.94,0.26193572640917157,0.7438616666910347,0.92,0.29582135671706394,0.7069119577361054,0.94
37,4,0.899090909090909,0.3030750311721455,0.8756,0.892,1.464068294157986,607.9088129997253,0.9717270908214384,0.31994210318987104,0.680057896810129,0.89,0.14432808508072387,0.8556719149192762,0.96,0.4350186132630983,0.570862942288608,0.85,0.5623634769148085,0.45324009244308566,0.82,0.32006628083086813,0.680776646669391,0.87,0.47786642196804807,0.531656300242947,0.82,0.2606886263278876,0.7437910432264014,0.93,0.2582194800434504,0.7431773617376335,0.91,0.1905172158106769,0.8126533950496597,0.95,0.2298522821815717,0.7717077099876533,0.92
38,4,0.9123636363636364,0.2516063045805151,0.8729,0.87,1.470636239902172,622.5537955760956,0.97328226206854,0.2558399348433108,0.7441600651566892,0.8,0.11723362321191727,0.8769524232997107,0.94,0.3542071519159647,0.6478817649402244,0.83,0.504513717668001,0.5088779836200005,0.79,0.25209059041569776,0.7532501770455023,0.86,0.4207151159969007,0.584442141931504,0.78,0.20383362671858524,0.7903524197930427,0.91,0.241364941960688,0.7634592694704161,0.94,0.16681606158403325,0.8367183573149263,0.93,0.1826023729477446,0.8173976270522554,0.92
39,4,0.9234545454545454,0.2198074739412828,0.8546,0.841,1.4770981410417066,638.0140218734741,0.9737136407775723,0.21669928159911273,0.7834052455416599,0.82,0.10540520985802665,0.8945947901419733,0.92,0.3450595830021653,0.6656688406764324,0.72,0.43153465692993515,0.5703643706172358,0.83,0.2063042076722838,0.7936957923277163,0.81,0.3924690780316501,0.6125991659044007,0.73,0.18328866606671634,0.8167113339332837,0.78,0.1740364848568746,0.8259635151431254,0.97,0.1288590662564296,0.8711409337435704,0.9,0.18564136346414967,0.8162744358597529,0.93
40,4,0.928,0.21256602183255283,0.8651,0.852,1.4839293231812414,652.8152163028717,0.9722114430790287,0.2339507802836272,0.77045380890364,0.73,0.1125997848337774,0.8874002151662226,0.84,0.29137754674221195,0.7140445713560248,0.86,0.42432953040440413,0.5783681293819533,0.85,0.19835030756718858,0.8022074990355555,0.82,0.3782894492669161,0.6302574402544387,0.77,0.1606381399328394,0.8393618600671606,0.94,0.17266678924707501,0.827333210752925,0.89,0.13626915174549944,0.8637308482545005,0.9,0.15369424023963293,0.8482615503355276,0.92
